,Unnamed: 0,Date,Open,High,Low,Close,QPLp1,QPLp2,QPLp3,QPLp4,QPLp5,QPLp6,QPLp7,QPLp8,QPLp9,QPLp10,QPLp11,QPLp12,QPLp13,QPLp14,QPLp15,QPLp16,QPLp17,QPLp18,QPLp19,QPLp20,QPLp21,QPLn1,QPLn2,QPLn3,QPLn4,QPLn5,QPLn6,QPLn7,QPLn8,QPLn9,QPLn10,QPLn11,QPLn12,QPLn13,QPLn14,QPLn15,QPLn16,QPLn17,QPLn18,QPLn19,QPLn20,QPLn21,Hurst
255,255,2013/1/7,6089.84,6091.5,6060.75,6064.58,6100.85847541492,6126.624511169221,6158.486337900488,6194.211791763268,6233.065483332874,6274.589313074475,6318.464485241473,6364.453756973772,6412.372330010893,6462.071393105826,6513.428039452133,6566.33870921085,6620.71472195399,6676.47911758083,6733.56435325546,6791.910581030082,6851.46433154817,6912.177489184253,6974.006481075505,7036.911626226892,7100.85660648821,6078.841424538662,6053.276344582506,6021.958837087098,5987.226861521782,5949.905600184665,5910.530454690145,5869.487960599447,5827.075290626994,5783.530543295355,5739.050061434792,5693.799179321162,5647.91931515471,5601.532883243557,5554.746831745934,5507.655274382289,5460.341502313389,5412.879558437393,5365.335494296856,5317.768391273522,5270.231203043423,5222.771459955065,0.4040918427527539
256,256,2013/1/8,6064.58,6088.18,6053.63,6053.63,6075.552771966392,6101.211932981266,6132.941600289095,6168.5188688194885,6207.211399463841,6248.56299283482,6292.256175516225,6338.054688705778,6385.774500666267,6435.267417403697,6486.411041915816,6539.102243918713,6593.252710821258,6648.785801744931,6705.634254014227,6763.738467924183,6823.045195903405,6883.506521904851,6945.079053801231,7007.723275190002,7071.403018564735,6053.627045444327,6028.168006684605,5996.980400835108,5962.392489761269,5925.226032993956,5886.014211359372,5845.141957110891,5802.905210322546,5759.5410819098925,5715.245100294294,5670.181913962852,5624.492354528354,5578.298328537566,5531.706340539285,5484.810113880388,5437.692594238885,5390.427517390973,5343.080660904528,5295.710861098087,5248.370852001543,5201.10796681264,0.40754931403174394
257,257,2013/1/9,6053.63,6112.27,6053.63,6098.65,6064.582959901413,6090.195791605252,6121.868168901733,6157.381200322483,6196.003869045555,6237.280799381763,6280.895091134141,6326.610912081292,6374.244562767469,6423.648116772727,6474.699398090691,6527.295462645993,6581.348157301724,6636.780979559535,6693.526788191127,6751.526091102744,6810.725736864999,6871.077895946441,6932.539254567133,6995.070367674011,7058.635133063467,6042.696821727661,6017.283750945016,5986.152456379078,5951.62699606461,5914.527645791333,5875.386623692232,5834.588167000057,5792.427681449477,5749.141849836623,5704.925847543367,5659.944025773086,5614.336961857784,5568.2263422339,5521.718479149228,5474.906926726951,5427.874480881173,5380.694744253273,5333.433375645383,5286.149105143178,5238.894571561775,5191.717022635698,0.40567657964025133
258,258,2013/1/10,6098.65,6118.3,6090.61,6101.51,6109.684415532953,6135.487726285447,6167.395646624018,6203.172783494649,6242.082683605485,6283.666584702003,6327.605229844775,6373.661032961144,6421.648928448191,6471.419889777867,6522.850832337918,6575.838046472279,6630.292723461486,6686.137791868805,6743.305611146009,6801.736246764956,6861.376152016513,6922.177141667687,6984.095579820016,7047.091728073091,7111.129215736262,6087.63551320933,6062.033448972074,6030.670635320669,5995.888413984573,5958.51316102988,5919.081052621424,5877.979183510537,5835.505156323041,5791.897414031931,5747.352583511109,5702.036238220873,5656.090000947195,5609.63646309153,5562.782727530992,5515.623044137702,5468.240824567402,5420.710218834026,5373.097374035036,5325.461457023544,5277.855498082177,5230.327096320258,0.4198803402728931
259,259,2013/1/11,6101.51,6121.58,6095.07,6121.58,6112.549590191022,6138.365001567219,6170.287885324279,6206.081800106653,6245.009947258116,6286.61334938472,6330.572599829503,6376.650001102335,6424.660400812627,6474.4547025454085,6525.909763967129,6578.921826786433,6633.402040636452,6689.27329793732,6746.467926420353,6804.92596345074,6864.59383720828,6925.423339863218,6987.370815053762,7050.396505743935,7114.464024186823,6090.490347896971,6064.876277411821,6033.498755973113,5998.700223297125,5961.307442984174,5921.856842642248,5880.735698553185,5838.241752905414,5794.613560491251,5750.047840394,5704.710243720667,5658.742459672112,5612.267137139793,5565.391429227391,5518.209630006088,5470.805190248047,5423.252294740311,5375.617121600439,5327.958865428206,5280.330581375122,5232.779890872409,0.41754468888368695
260,260,2013/1/14,6121.58,6134.17,6104.9,6107.86,6132.655903263545,6158.556230555036,6190.584119839744,6226.495773324452,6265.551968764508,6307.292219028816,6351.396066820227,6397.625032778447,6445.793355481931,6495.751448085461,6547.37576319729,6600.56220122876,6655.221619553076,6711.276656956579,6768.65941857283,6827.30974452894,6887.173886788264,6948.203478948632,7010.354721047218,7073.587725273244,7137.865984187778,6110.524100407791,6084.825776287944,6053.345043208957,6018.432045990454,5980.916267747337,5941.335900585581,5900.079494674139,5857.4457715796125,5813.67407078445,5768.96175844981,5723.475030567115,5677.356042402554,5630.727846282676,5583.697947775192,5536.360951117456,5488.800581580403,5441.09126797078,5393.299406089117,5345.48438524693,5297.699435112672,5249.992333761105,0.41466517418791393
261,261,2013/1/15,6107.86,6117.31,6086.21,6117.31,6118.911079379388,6144.753357524998,6176.709464256675,6212.54063069624,6251.509291381961,6293.155991250191,6337.160991229159,6383.28634645078,6431.346711831564,6481.192835788025,6532.701447829188,6585.768681679744,6640.305594503943,6696.234998474056,6753.48915089311,6812.00802672162,6871.737998385803,6932.6308078847605,6994.642753422394,7057.734036586541,7121.868231760617,6096.82887945869,6071.188151744825,6039.777974904234,6004.943226491078,5967.511530540031,5928.019872933237,5886.85593300102,5844.317762799841,5800.644165392188,5756.032064592026,5710.647283903773,5664.631659987921,5618.107969379818,5571.183476700163,5523.9525741544285,5476.498799364164,5428.896414322447,5381.2116660201245,5333.503810662331,5285.8259586164495,5238.225780874563,0.40921394906218517
262,262,2013/1/16,6117.31,6117.33,6076.12,6103.98,6128.378177462863,6154.260438438545,6186.26598723481,6222.152591179958,6261.181543660757,6302.892678750775,6346.965762682191,6393.162482441776,6441.297206182583,6491.220451401056,6542.808756883749,6595.9580956548325,6650.579387267378,6706.595324469672,6763.938059754142,6822.547475211357,6882.369860295662,6943.35688234202,7005.4647719394925,7068.653669100342,7132.887091850754,6106.261812255265,6080.581413547484,6049.122639297793,6014.233995023812,5976.744385249145,5937.191626673372,5895.963998439138,5853.360013745092,5809.618845126655,5764.937721075704,5719.482721656585,5673.395902977592,5626.800231532297,5579.8031378998,5532.499160327943,5484.971965686574,5437.295930865942,5389.53740535336,5341.755737034377,5294.004118448032,5246.330294342335,0.41475457148947664
263,263,2013/1/17,6103.98,6135.89,6087.49,6132.36,6115.024059213897,6140.849921128748,6172.78572783814,6208.5941326352,6247.538038594477,6289.158282519792,6333.135328452676,6379.231382678816,6427.261217854638,6477.075677208284,6528.551568555992,6581.5850916032,6636.08736001483,6691.9812349964905,6749.199016884559,6807.680718770278,6867.372747146624,6928.226874668448,6990.199427301088,7053.250631914208,7117.344086030487,6092.955886945388,6067.331447427965,6035.941223809312,6001.128604067057,5963.720686490153,5924.25411584205,5883.116325180925,5840.605177226553,5796.959323342481,5752.375562247405,5707.019612106851,5661.033219479993,5614.539082908747,5567.644398874279,5520.443499619694,5473.019869699513,5425.447723932102,5377.793267225104,5330.115718141322,5282.468153309937,5234.898213440176,0.41657698731667836
264,264,2013/1/18,6132.36,6172.49,6131.93,6154.41,6143.455407743953,6169.401345078636,6201.485634940726,6237.460528246619,6276.585500993651,6318.399255140593,6362.580769070352,6408.891143464472,6457.144289778647,6507.190357747731,6558.905582415085,6612.185680874414,6666.941353520251,6723.095102907133,6780.578914606895,6839.33252280612,6899.302084818769,6960.439149070246,7022.699838466721,7086.044194955653,7150.435646809117,6121.284631153512,6095.5410527146805,6064.004882591239,6029.030404168535,5991.448561267362,5951.798493740994,5910.469435988732,5867.760635620862,5823.911853592656,5779.120803623782,5733.553974374026,5687.353771442621,5640.643463849207,5593.530746476999,5546.110390159834,5498.466267607447,5450.672938694469,5402.796916143326,5354.897693849114,5307.028595216847,5259.237482457675,0.4181142505866176
265,265,2013/1/21,6154.41,6182.23,6154.41,6180.98,6165.545303272063,6191.58453387691,6223.784188556373,6259.88843604196,6299.154089644173,6341.118192641954,6385.458569127427,6431.935460776794,6480.362109931023,6530.588127511466,6582.489303542392,6635.960980149616,6690.913536634928,6747.269196896902,6804.959701949302,6863.924569282171,6924.109762608437,6985.466656137182,7047.951215006617,7111.523337487855,7176.146320352768,6143.2948076788525,6117.458663587552,6085.8090995095445,6050.708864078247,6012.991888921959,5973.199252467975,5931.721588677672,5888.85922115978,5844.852772973077,5799.900668752363,5754.169995797255,5707.803671751852,5660.925408871659,5613.643289276153,5566.052424564701,5518.236989026403,5470.27181062929,5422.223641254206,5374.152188717219,5326.110968157204,5278.148013882475,0.40351940205182735
