Date,log_returns,QHL,QHLp,QHLm
2013/6/10,-0.001801375,0.278369417,0.030580375,0.366183133
2013/6/11,-0.009476914,0.140289953,0.014715853,0.223652002
2013/6/12,-0.006429059,0.192710998,0.217004032,0.081174096
2013/6/13,0.000821956,0.294837094,0.017932552,0.416198842
2013/6/14,0.000575602,0.384332743,0.275693355,0.317539429
2013/6/17,0.003517757,0.263989687,0.394972904,-0.06474343
2013/6/18,0.006882519,0.387319869,-0.049561549,0.953550138
2013/6/19,-0.003991193,0.181259791,0.030549756,0.277078987
2013/6/20,-0.03027174,0.1170191,-0.055445382,0.405779037
2013/6/21,-0.007061145,0.068737005,-0.280502096,0.554166599
2013/6/24,-0.014338338,-0.093161587,-0.568924207,0.37656311
2013/6/25,0.012004091,-0.007422518,-0.326481742,0.52435603
2013/6/26,0.010364156,0.138568371,-0.004190595,0.524907186
2013/6/27,0.012558913,0.345456763,0.360759929,0.455420522
2013/6/28,-0.00448356,0.449919804,0.290711205,0.531943601
2013/7/1,0.014742447,0.434449482,0.446990078,0.296474842
2013/7/2,-0.000608957,0.450134597,0.194187195,0.897457839
2013/7/3,-0.011819369,0.496212641,0.478334083,0.532506245
2013/7/4,0.030322743,0.521931443,0.580154364,0.622660081
2013/7/5,-0.007212552,0.444941761,0.562897684,0.46129317
2013/7/8,0.011625327,0.412625898,0.177969862,0.575988004
2013/7/9,0.009721479,0.270273132,0.371489471,0.069134202
2013/7/10,-0.0012475,0.333047285,0.438255641,0.215497492
2013/7/11,0.005893473,0.2663405,0.06436929,0.212013326
2013/7/12,0.000233796,0.221737713,-0.116601106,0.226392436
2013/7/15,0.006270654,0.127325163,-0.264067146,0.130813604
2013/7/16,-0.00452884,0.288847334,0.20372829,-0.034569635
2013/7/17,0.002373503,0.373397245,0.427671116,0.420288897
2013/7/18,0.009454656,0.31600756,0.359595472,0.117522334
2013/7/19,-0.00055635,0.357594449,0.59853626,-0.072740947
2013/7/22,-0.001131748,0.262235823,-0.088627685,0.494124719
2013/7/23,-0.003892412,0.004911883,-0.074736915,0.206433382
2013/7/24,0.003478628,-0.046163564,-0.516729072,0.590619958
2013/7/25,-0.0049181,0.078792618,-0.2185641,0.63749043
2013/7/26,-0.005046143,0.08856331,-0.266249679,0.539088081
2013/7/29,0.000832632,0.166482137,0.05570288,-0.134117711
2013/7/30,0.001629707,0.181940358,-0.065689918,0.3831231
2013/7/31,0.007597059,0.412847948,0.599579218,0.082766091
2013/8/1,0.009158873,0.522944335,0.60588946,0.438791004
2013/8/2,-0.005117848,0.454422467,0.44242207,0.442581243
2013/8/5,-0.004264579,0.384003707,0.008265398,0.690593971
2013/8/6,-0.002324599,0.373764712,0.041170379,0.643620815
2013/8/7,-0.014182018,0.503454951,0.669121461,0.472400609
2013/8/8,0.002832631,0.512143868,0.767564845,0.384153588
2013/8/9,0.008191873,0.45286888,0.363048098,0.448703771
