Date,log_returns,QHL,QHLp,QHLm
2011/2/1,0.018752143,0.512176213,0.13269817,-0.09938367
2011/2/2,-0.000592646,0.5054629,0.826079335,-0.260045452
2011/2/3,0.001569927,0.500382037,0.854076315,-0.232121452
2011/2/4,0.005583754,0.497863844,0.264353878,0.258304947
2011/2/7,0.00529057,0.505839979,-0.71932114,1.105472338
2011/2/8,0.00468014,0.517277685,-0.415330287,0.566287039
2011/2/9,-0.002857083,0.516080347,-0.635525457,0.538469992
2011/2/10,0.000494666,0.508796921,-0.149994826,0.166745858
2011/2/11,0.006782302,0.504298104,-0.830366426,0.787997596
2011/2/14,0.002751209,0.506932929,-0.093018951,-0.102100315
2011/2/15,-0.004564602,0.502741757,-0.400549802,0.612211252
2011/2/16,0.007534792,0.499275263,-0.226222651,0.567601466
2011/2/17,0.002128285,0.490094246,-0.22639726,0.318678969
2011/2/18,0.000836638,0.486385365,0.252738985,-0.15184842
2011/2/22,-0.027738762,0.488044754,0.06059589,0.276633793
2011/2/23,-0.012202195,0.479417098,0.943740325,-0.652404579
2011/2/24,0.005460662,0.473012906,1.482728499,-0.987536445
2011/2/25,0.015637351,0.47543447,0.947616919,-0.084526225
2011/2/28,0.000438587,0.47745074,0.315125378,0.646084175
2011/3/1,-0.016254923,0.479131398,0.063252252,0.189777141
2011/3/2,0.003886629,0.478733338,0.223240363,0.250936185
2011/3/3,0.018270469,0.475298745,0.081529164,0.480338664
2011/3/4,-0.005039941,0.478060584,0.23104685,0.188921862
2011/3/7,-0.014118818,0.477403801,0.422885558,-0.591723632
2011/3/8,0.00730852,0.48065014,0.621982291,-0.342762917
2011/3/9,-0.005092907,0.490415548,0.744233581,-0.378715777
2011/3/10,-0.018596691,0.493972296,0.287381438,0.24825984
2011/3/11,0.005387126,0.49078498,0.185978637,0.220576361
2011/3/14,-0.005405638,0.493305685,-1.087025389,1.37012062
2011/3/15,-0.012532996,0.512225321,-0.204623809,0.082478685
2011/3/16,-0.019118132,0.523131534,-0.233781705,0.495040207
2011/3/17,0.007321744,0.523892222,0.151500652,0.18472572
2011/3/18,0.002886519,0.523556557,-0.114456804,0.320921412
2011/3/21,0.01814974,0.526087108,-0.792091996,0.524378857
2011/3/22,-0.003058061,0.52585906,-0.788971903,0.820202501
2011/3/23,0.005362162,0.530694573,-0.412267924,0.533116962
2011/3/24,0.014028552,0.517795671,-0.023634027,0.256857893
2011/3/25,0.002423589,0.505089924,-0.189532301,0.282953139
2011/3/28,-0.004523423,0.508162145,0.056544601,0.564874541
2011/3/29,0.00955257,0.507170347,0.614741973,-0.484588159
2011/3/30,0.007192351,0.503056915,1.191868162,-0.916306949
2011/3/31,0.001540161,0.502432541,0.880079534,-0.265096106
2011/4/1,0.003062471,0.498918486,0.515771031,0.119341826
2011/4/4,-0.000146985,0.494047468,0.288709518,0.423422658
2011/4/5,0.000716797,0.495613542,0.076721661,0.477882358
2011/4/6,0.003087101,0.492550706,0.190921211,0.200508392
2011/4/7,-0.001315235,0.481073785,0.037466285,0.418150677
2011/4/8,-0.005641496,0.474526126,0.582424887,-0.545783607
2011/4/11,-0.003206101,0.466996188,0.334771361,0.06092487
2011/4/12,-0.009687729,0.45901845,0.295150941,-0.162887247
2011/4/13,0.006076683,0.452992369,0.626721466,0.231971727
2011/4/14,-0.000470866,0.437777987,0.297716709,0.393110607
2011/4/15,0.001603658,0.437196656,-0.707634609,0.969479042
2011/4/18,-0.010643679,0.438025382,-0.540516234,0.426205092
2011/4/19,0.00349978,0.439096224,-0.632007652,0.788793438
2011/4/20,0.020745298,0.445566318,-0.140133945,0.138860497
2011/4/21,0.006278177,0.44959937,-0.167250562,0.218232344
2011/4/25,0.0020262,0.459660658,-0.445513815,0.498901728
2011/4/26,0.007635643,0.458674505,-0.092950811,0.491529362
2011/4/27,0.007814753,0.460893695,-0.66684102,1.165519986
2011/4/28,0.000922957,0.450105497,0.120829962,-0.249952419
2011/4/29,0.000351545,0.440113886,0.344183865,-0.271865323
2011/5/2,-0.003297538,0.436553744,0.570312264,-0.57375669
2011/5/3,-0.00787287,0.434792433,0.666866404,-0.49918061
2011/5/4,-0.004723238,0.433049819,0.448393197,0.325398781
2011/5/5,-0.004788285,0.431850267,0.695181095,-0.268796357
2011/5/6,0.004551359,0.427320284,0.662016588,0.513042736
2011/5/9,0.005533615,0.420114793,0.438438979,0.488348655
2011/5/10,0.010022586,0.414537045,-0.460704769,1.191763058
2011/5/11,-0.009386193,0.424845208,0.307121417,0.50204548
2011/5/12,0.00629984,0.441107993,0.369522576,0.369420368
2011/5/13,-0.012148068,0.43636153,1.884875682,-0.987994737
2011/5/16,-0.016454411,0.431952144,1.157349953,-0.368013179
2011/5/17,0.00032342,0.441377991,0.362882725,-0.09455686
2011/5/18,0.011357324,0.449659457,-0.010694895,0.736556234
2011/5/19,0.002947694,0.448991332,-0.404248961,1.022300148
2011/5/20,-0.007105526,0.450262158,-0.190417939,0.899848616
2011/5/23,-0.01597238,0.465239132,0.009458195,-0.076710243
2011/5/24,-0.004628477,0.467630032,-0.327295183,0.985734843
2011/5/25,0.005526983,0.476186736,-0.018131441,0.716171424
2011/5/26,0.007770181,0.477416219,0.064154529,0.479655576
2011/5/27,0.004996623,0.472929378,-0.015838443,0.249334136
2011/5/31,0.013650392,0.462774749,-0.259063131,0.188949015
2011/6/1,-0.023592893,0.467629663,-0.189981907,0.334312153
2011/6/2,0.001486694,0.462079089,-0.134329087,0.443280684
2011/6/3,-0.014722147,0.461410893,0.190554719,0.285598822
