Date,log_returns,hurst,hurstp,hurstm
2011/6/22,-0.006747032,0.244537241,0.032953099,0.885264892
2011/6/23,0.006557229,0.315746568,0.016346728,0.838201131
2011/6/24,-0.012682673,0.214724863,0.409876558,0.005062521
2011/6/27,0.013251972,0.127264929,0.315607388,0.070103216
2011/6/28,0.015147246,-0.007997251,0.272478171,-0.331352018
2011/6/29,0.004087907,-0.018216781,0.28420082,-0.470351277
2011/6/30,0.011980535,-0.062568838,0.50138739,-0.796814579
2011/7/1,0.01521082,0.010413947,0.188925243,-0.539195057
2011/7/5,0.003452802,0.105040904,0.413561649,-0.464825621
2011/7/6,0.002915305,0.106509544,0.324426674,-0.270319256
2011/7/7,0.013542231,0.335317671,0.740541251,-0.184023604
2011/7/8,-0.004483241,0.299725957,0.28307154,0.128623224
2011/7/11,-0.020200495,0.243156492,0.085427771,0.23418868
2011/7/12,-0.007416952,0.212662851,1.166835941,-0.384988009
2011/7/13,0.00538107,0.394776365,0.750344405,0.127086061
2011/7/14,-0.012321208,0.411172765,0.390607799,0.371538467
2011/7/15,0.009772305,0.46679966,0.555633012,0.422923094
2011/7/18,-0.008889491,0.492619298,0.647662393,0.334964383
2011/7/19,0.021965856,0.485366297,0.837598563,0.15361368
2011/7/20,-0.004357583,0.455826136,0.347120286,0.613716323
2011/7/21,0.007152169,0.413756782,-0.020786248,0.950494056
2011/7/22,0.008571591,0.319237951,-0.121420504,0.720865771
2011/7/25,-0.005622968,0.239328126,0.439684941,0.186678751
2011/7/26,-0.000999514,0.241313595,0.143473467,0.421139159
2011/7/27,-0.026825285,0.222213105,0.170049262,0.334543642
2011/7/28,0.00052793,0.149122308,0.092424177,0.264965709
2011/7/29,-0.003574388,0.04766083,0.362836737,-0.341952754
2011/8/1,-0.004279236,0.081203343,0.071295465,-0.011857783
2011/8/2,-0.027845201,0.049340182,0.316649448,-0.23049778
2011/8/3,0.008888019,-0.006563144,0.704034598,-0.769119255
2011/8/4,-0.0520857,0.190312271,0.566890368,-0.38746931
2011/8/5,-0.009424689,0.239393116,0.270479583,0.065391226
2011/8/8,-0.071489092,0.289665469,0.148457812,0.243077703
2011/8/9,0.051591847,0.196325125,0.551579181,0.279580991
2011/8/10,-0.041732606,0.18111607,0.063039726,-0.002551811
2011/8/11,0.04581687,0.181529569,-0.038362579,0.245152333
2011/8/12,0.006119211,0.245955888,0.199751835,0.268686897
2011/8/15,0.01865285,0.368983587,0.394653453,0.579681506
2011/8/16,-0.012503486,0.634383663,0.330480949,1.22512415
2011/8/17,-0.004754792,0.88505857,-0.325934789,1.987448787
2011/8/18,-0.053591077,0.861114923,0.785902476,0.864981341
2011/8/19,-0.016344198,0.756883432,0.083932298,1.088417788
2011/8/22,0.001510491,0.57541917,-0.051867009,1.233349884
2011/8/23,0.042031131,0.438421203,0.081267206,1.056347176
2011/8/24,0.008803924,0.297096076,0.491030007,0.535804317
2011/8/25,-0.019667854,0.186689109,0.441454141,0.357532393
2011/8/26,0.024583439,0.162392941,0.519525833,0.10513793
2011/8/29,0.032633063,0.185562818,0.210585846,0.264578784
2011/8/30,0.005449371,0.303414182,0.308202003,0.435797171
2011/8/31,0.001299566,0.409282579,0.431353285,0.145202372
2011/9/1,-0.013040864,0.458955652,0.548099396,0.060900975
2011/9/2,-0.026147595,0.195529063,0.064187144,-0.30576231
2011/9/6,-0.002624059,0.134321627,0.978544805,-0.571324756
2011/9/7,0.029910029,0.147351592,0.524296854,-0.438201646
2011/9/8,-0.007798262,0.317188827,-0.172284344,0.525834815
