Date,log_returns,Hurst
2011/2/1,0.018752143,0.511075271
2011/2/2,-0.000592646,0.504376388
2011/2/3,0.001569927,0.499306447
2011/2/4,0.005583754,0.496793667
2011/2/7,0.00529057,0.504752657
2011/2/8,0.00468014,0.516165777
2011/2/9,-0.002857083,0.514971013
2011/2/10,0.000494666,0.507703243
2011/2/11,0.006782302,0.503214096
2011/2/14,0.002751209,0.505843257
2011/2/15,-0.004564602,0.501661094
2011/2/16,0.007534792,0.498202052
2011/2/17,0.002128285,0.48904077
2011/2/18,0.000836638,0.485339861
2011/2/22,-0.027738762,0.486995683
2011/2/23,-0.012202195,0.478386573
2011/2/24,0.005460662,0.471996147
2011/2/25,0.015637351,0.474412506
2011/2/28,0.000438587,0.476424441
2011/3/1,-0.016254923,0.478101487
2011/3/2,0.003886629,0.477704282
2011/3/3,0.018270469,0.474277072
2011/3/4,-0.005039941,0.477032975
2011/3/7,-0.014118818,0.476377603
2011/3/8,0.00730852,0.479616964
2011/3/9,-0.005092907,0.489361381
2011/3/10,-0.018596691,0.492910484
2011/3/11,0.005387126,0.489730019
2011/3/14,-0.005405638,0.492245306
2011/3/15,-0.012532996,0.511124273
2011/3/16,-0.019118132,0.522007043
2011/3/17,0.007321744,0.522766096
2011/3/18,0.002886519,0.522431152
2011/3/21,0.01814974,0.524956264
2011/3/22,-0.003058061,0.524728706
2011/3/23,0.005362162,0.529553825
2011/3/24,0.014028552,0.51668265
2011/3/25,0.002423589,0.504004214
2011/3/28,-0.004523423,0.507069831
2011/3/29,0.00955257,0.506080165
2011/3/30,0.007192351,0.501975575
2011/3/31,0.001540161,0.501352543
2011/4/1,0.003062471,0.497846042
2011/4/4,-0.000146985,0.492985494
2011/4/5,0.000716797,0.494548202
2011/4/6,0.003087101,0.49149195
2011/4/7,-0.001315235,0.480039699
2011/4/8,-0.005641496,0.473506114
2011/4/11,-0.003206101,0.465992362
2011/4/12,-0.009687729,0.458031772
2011/4/13,0.006076683,0.452018645
2011/4/14,-0.000470866,0.436836967
2011/4/15,0.001603658,0.436256885
2011/4/18,-0.010643679,0.43708383
2011/4/19,0.00349978,0.43815237
2011/4/20,0.020745298,0.444608556
2011/4/21,0.006278177,0.448632939
2011/4/25,0.0020262,0.4586726
2011/4/26,0.007635643,0.457688567
2011/4/27,0.007814753,0.459902986
2011/4/28,0.000922957,0.449137978
2011/4/29,0.000351545,0.439167844
2011/5/2,-0.003297538,0.435615355
2011/5/3,-0.00787287,0.43385783
2011/5/4,-0.004723238,0.432118962
2011/5/5,-0.004788285,0.430921988
2011/5/6,0.004551359,0.426401743
2011/5/9,0.005533615,0.41921174
2011/5/10,0.010022586,0.413645982
2011/5/11,-0.009386193,0.423931987
2011/5/12,0.00629984,0.440159815
2011/5/13,-0.012148068,0.435423554
2011/5/16,-0.016454411,0.431023646
2011/5/17,0.00032342,0.440429232
2011/5/18,0.011357324,0.448692897
2011/5/19,0.002947694,0.448026208
2011/5/20,-0.007105526,0.449294302
2011/5/23,-0.01597238,0.464239083
2011/5/24,-0.004628477,0.466624843
2011/5/25,0.005526983,0.475163155
2011/5/26,0.007770181,0.476389995
2011/5/27,0.004996623,0.471912798
2011/5/31,0.013650392,0.461779997
2011/6/1,-0.023592893,0.466624475
2011/6/2,0.001486694,0.461085832
2011/6/3,-0.014722147,0.460419073
2011/6/6,-0.011119934,0.460212292
2011/6/7,-0.000370088,0.46629682
2011/6/8,-0.009737958,0.468977213
2011/6/9,0.003540883,0.474062496
2011/6/10,-0.015441511,0.469039895
2011/6/13,-0.001529313,0.458196276
2011/6/14,0.014677582,0.454659725
2011/6/15,-0.017800243,0.465667491
2011/6/16,-0.00295329,0.471096855
2011/6/17,-0.002755632,0.475822101
2011/6/20,0.005024657,0.464676062
2011/6/21,0.021667527,0.442711272
2011/6/22,-0.006747032,0.429318209
2011/6/23,0.006557229,0.423000838
2011/6/24,-0.012682673,0.413190687
2011/6/27,0.013251972,0.414564868
2011/6/28,0.015147246,0.416567922
2011/6/29,0.004087907,0.42516516
2011/6/30,0.011980535,0.440569817
2011/7/1,0.01521082,0.462870932
2011/7/5,0.003452802,0.474037912
2011/7/6,0.002915305,0.489051996
2011/7/7,0.013542231,0.493478381
2011/7/8,-0.004483241,0.510303931
2011/7/11,-0.020200495,0.507087938
2011/7/12,-0.007416952,0.494597117
2011/7/13,0.00538107,0.489347956
2011/7/14,-0.012321208,0.482651841
2011/7/15,0.009772305,0.483923901
2011/7/18,-0.008889491,0.490516301
2011/7/19,0.021965856,0.488635483
2011/7/20,-0.004357583,0.493064657
2011/7/21,0.007152169,0.503802569
2011/7/22,0.008571591,0.511579877
2011/7/25,-0.005622968,0.507532352
2011/7/26,-0.000999514,0.503136562
2011/7/27,-0.026825285,0.498494873
2011/7/28,0.00052793,0.505953052
2011/7/29,-0.003574388,0.504178768
2011/8/1,-0.004279236,0.514507699
2011/8/2,-0.027845201,0.513815583
2011/8/3,0.008888019,0.514327247
2011/8/4,-0.0520857,0.521264867
2011/8/5,-0.009424689,0.535727285
2011/8/8,-0.071489092,0.551189237
2011/8/9,0.051591847,0.565208361
2011/8/10,-0.041732606,0.57294433
2011/8/11,0.04581687,0.577432901
2011/8/12,0.006119211,0.573032688
2011/8/15,0.01865285,0.55125102
2011/8/16,-0.012503486,0.533829649
2011/8/17,-0.004754792,0.532941269
2011/8/18,-0.053591077,0.525541103
2011/8/19,-0.016344198,0.527025647
2011/8/22,0.001510491,0.525632117
2011/8/23,0.042031131,0.524394381
2011/8/24,0.008803924,0.512851666
