,Unnamed: 0,Date,Open,High,Low,Close,QPLp1,QPLp2,QPLp3,QPLp4,QPLp5,QPLp6,QPLp7,QPLp8,QPLp9,QPLp10,QPLp11,QPLp12,QPLp13,QPLp14,QPLp15,QPLp16,QPLp17,QPLp18,QPLp19,QPLp20,QPLp21,QPLn1,QPLn2,QPLn3,QPLn4,QPLn5,QPLn6,QPLn7,QPLn8,QPLn9,QPLn10,QPLn11,QPLn12,QPLn13,QPLn14,QPLn15,QPLn16,QPLn17,QPLn18,QPLn19,QPLn20,QPLn21,Hurst
255,255,2011/1/6,11716.93,11736.74,11667.46,11697.31,11738.222156432344,11788.24384917,11850.352381075269,11920.080493529613,11995.968778497538,12077.110797558533,12162.87680477312,12252.798665970246,12346.512016934785,12443.723621496016,12544.191400927237,12647.71145894364,12754.109249147035,12863.233333521806,12974.950834708425,13089.144036510295,13205.707786930074,13324.547476894511,13445.577441315538,13568.719676107032,13693.902795676797,11695.676465764398,11646.047569211609,11585.009813222368,11517.24174173329,11444.381955293382,11367.49102712988,11287.333648814418,11204.497222841528,11119.452071693971,11032.58580797659,10944.224640477994,10854.647425390143,10764.095394124164,10672.77915787543,10580.883918084235,10488.573450025386,10395.993220505368,10303.27287759394,10210.528274006778,10117.863136832711,10025.370464017147,0.5095954875823832
256,256,2011/1/7,11696.86,11726.94,11599.68,11674.76,11718.11568496929,11768.05169524804,11830.053841074758,11899.662515825115,11975.420811292435,12056.423841700043,12142.04293980407,12231.810773303308,12325.363602104288,12422.408692322297,12522.704379888735,12626.047117773982,12732.262658561414,12841.199823634508,12952.725963240166,13066.723562818574,13183.087650487876,13301.72377923128,13422.546430696952,13545.477734412452,13670.446427062388,11675.64287107126,11626.098984154423,11565.165780105212,11497.513788954144,11424.77880448146,11348.019583252131,11267.999506992994,11185.304972033302,11100.405495237606,11013.688025266778,10925.47821214443,10836.054434408074,10745.657510262088,10654.497690144672,10562.759858263453,10470.607509361576,10378.185861074568,10285.62433939722,10193.038598600397,10100.532188098168,10008.197946539209,0.5158109049686719
257,257,2011/1/10,11672.34,11677.33,11573.87,11637.45,11693.551126908798,11743.382456874026,11805.254628278915,11874.717383123858,11950.316867302949,12031.15009194169,12116.589707664503,12206.169361833783,12299.526076860451,12396.367732514644,12496.45317132551,12599.57927295684,12705.57215526498,12814.280956547484,12925.573305123487,13039.331932777664,13155.452087679569,13273.83952080066,13394.408893060296,13517.082497225054,13641.78921936805,11651.167348307144,11601.727319699909,11540.921849261536,11473.4116762414,11400.829165323095,11324.230853611756,11244.378522565425,11161.857339257134,11077.135836308353,10990.600151223696,10902.575251370188,10813.338931723449,10723.13150566328,10632.162782882178,10540.61726001703,10448.658089078735,10356.430183284669,10264.062697315328,10171.67104299678,10079.358552673602,9987.217870377814,0.5237203510523575
258,258,2011/1/11,11638.51,11704.12,11635.48,11671.88,11659.65965059614,11709.346554174475,11771.039401162958,11840.300831766452,11915.681205591512,11996.2801509007,12081.472136568194,12170.79216158852,12263.878300392307,12360.439279403188,12460.234640098186,12563.061850845754,12668.7475334657,12777.14126349879,12888.111052917646,13001.539973385983,13117.323576676104,13235.367886921877,13355.58781238134,13477.90587104032,13602.251155081778,11617.3987131069,11568.101976775912,11507.472739129333,11440.15823117321,11367.78608650061,11291.409780050011,11211.788885404549,11129.506873644665,11045.030919441442,10958.746041155287,10870.976264298712,10781.998578712808,10692.052601275933,10601.34753358813,10510.067337558776,10418.374692334508,10326.41409113001,10234.31431429614,10142.190439160311,10050.145498578457,9958.271868071946,0.5209085708692193
259,259,2011/1/12,11673.62,11782.23,11673.62,11755.44,11694.83345294132,11744.670247457989,11806.54920382454,11876.019576021805,11951.62735051284,12032.46943940053,12117.918424513551,12207.50790207363,12300.874854687212,12397.727130090248,12497.82354436633,12600.96095490488,12706.96546049416,12815.68618288808,12926.990735889774,13040.761838424172,13156.894727173642,13275.2951427742,13395.877736786844,13518.564793456697,13643.285191058458,11652.445026493851,11602.999576245658,11542.187437821076,11474.669861570615,11402.079391184545,11325.472679628872,11245.611591899326,11163.081359238924,11078.350565648869,10991.805390977986,10903.77083822953,10814.524732842385,10724.30741454935,10633.328716050855,10541.773154215864,10449.803898946682,10357.565879352003,10265.188264275555,10172.78647819958,10080.463864800173,9988.313078268784,0.5211644833493598
260,260,2011/1/13,11753.7,11757.25,11700.53,11731.9,11775.058975350954,11825.237645867088,11887.541086397578,11957.488019199482,12033.614456331694,12115.01111479404,12201.046272382084,12291.250325828909,12385.257767473764,12482.774440913936,12583.557507732696,12687.40243177913,12794.134118894584,12903.600655821554,13015.668748205582,13130.220310433797,13247.149860521486,13366.36249249377,13487.772272428909,13611.30095144882,13736.876919939468,11732.379768049736,11682.595126389122,11621.365822077263,11553.38508122952,11480.296646641384,11403.164419824689,11322.755492101602,11239.659109349674,11154.34707001488,11067.20820310563,10978.569741117017,10888.711415345842,10797.875214234204,10706.272409916286,10614.088785030435,10521.488628810052,10428.61786456469,10335.606547224908,10242.570893074677,10149.614954718569,10056.832021947588,0.5172498071040923
261,261,2011/1/14,11732.13,11794.15,11698.83,11787.38,11753.449778068538,11803.536362354544,11865.72546567954,11935.544034192706,12011.530766615,12092.778048632224,12178.655317355557,12268.693831318398,12362.528753627535,12459.866467706306,12560.464580786984,12664.118932076612,12770.654748743518,12879.92039631637,12991.78282505808,13106.124166062573,13222.839130922172,13341.832987830292,13463.019960568276,13586.321943857783,13711.667459500364,11710.848894231547,11661.155615692383,11600.038677366896,11532.182692517696,11459.228387398076,11382.237711083131,11301.976347154508,11219.032460125289,11133.876982612595,11046.89803005876,10958.42223443266,10868.728813677511,10778.059312146264,10686.624614253482,10594.610161695393,10502.179942207244,10409.479611304978,10316.638985246664,10223.774067040013,10130.988718335702,10038.376057722417,0.5274608742023507
262,262,2011/1/18,11783.82,11858.78,11777.99,11837.93,11805.233709803728,11855.540968045934,11918.004067205518,11988.130245829248,12064.451764364458,12146.057009684804,12232.31264073623,12322.747850847749,12416.996195709664,12514.762765114854,12615.804098349514,12719.915135118945,12826.920332568669,12936.66738814868,13049.022665924762,13163.867777678175,13281.096971116353,13400.615097058622,13522.336001369202,13646.181234649652,13772.079003779329,11762.445132880695,11712.532913231293,11651.146702868924,11582.991754757568,11509.71602394358,11432.386138289949,11351.771154864997,11268.461829546171,11182.931169808888,11095.56900107372,11006.703394400867,10916.614797925811,10825.545820209576,10733.708274791745,10641.288420396755,10548.450967265157,10455.34221264918,10362.092544757805,10268.818477690536,10175.624330696866,10082.603632631974,0.5368551832613396
263,263,2011/1/19,11834.21,11861.24,11798.46,11825.29,11855.715279162136,11906.237661425486,11968.967865442972,12039.393917803814,12116.041802603866,12197.996008474502,12284.62048606709,12375.442415446005,12470.093785311492,12568.278424360678,12669.751830792458,12774.3080674328,12881.770840770434,12991.987196978822,13104.822928669437,13220.159141371543,13337.889630574367,13457.918840220073,13580.160247760354,13704.53506833126,13830.971201810224,11812.74372962147,11762.618075215923,11700.969364990167,11632.522972522454,11558.933899848553,11481.273335948128,11400.313626533234,11316.648053673056,11230.75164751872,11143.01590046323,11053.77028646506,10963.296452912691,10871.838045810471,10779.607784455568,10686.79272405243,10593.558279175935,10500.051372674996,10406.402950324957,10312.730024463212,10219.137360429482,10125.718887027264,0.5325290853301093
264,264,2011/1/20,11823.7,11845.16,11744.77,11822.8,11845.18618025448,11895.66369342749,11958.338186548835,12028.701693305846,12105.281506872649,12187.162928949208,12273.710475064368,12364.451745195403,12459.019054874596,12557.116495829749,12658.499783402594,12762.963163312566,12870.330498615236,12980.448971322843,13093.184493236882,13208.418275477175,13326.044207853518,13445.966819171716,13568.099663724415,13692.36402661676,13818.687871758537,11802.252793885304,11752.171656234808,11690.577696427075,11622.19209142087,11548.66837343932,11471.076780135716,11390.188971299396,11306.597702103829,11220.777580824331,11133.119752168255,11043.953397487196,10953.559914037676,10862.182731441246,10770.034380078376,10677.30174902919,10584.15010596335,10490.726243247109,10397.160990362449,10303.571255727731,10210.061711640245,10116.726203485005,0.5215593681541225
