Date,log_returns,QHL,QHLp,QHLm
2011/2/1,0.00151757,0.246433238,-0.060082601,0.61819445
2011/2/2,0.017978658,0.349644582,0.063503386,0.683224442
2011/2/7,-0.014975034,0.233540903,0.337647259,0.158517324
2011/2/8,-0.002946138,0.287331098,0.107635152,0.544069535
2011/2/9,-0.013731468,0.246359818,0.320591655,0.130353093
2011/2/10,-0.019856056,0.202356417,0.156931737,0.222741671
2011/2/11,0.005283565,0.378166435,0.235149913,0.426809628
2011/2/14,0.012715737,0.338699587,0.278346853,0.292416124
2011/2/15,-0.009616587,0.224668541,-0.343104067,0.348090124
2011/2/16,0.011168512,0.260935215,0.076657,0.526044674
2011/2/17,0.006236512,0.436578081,0.464871444,0.445354654
2011/2/18,0.012512669,0.457972202,0.252850675,0.785297682
2011/2/21,-0.004665194,0.440707319,0.287586664,0.605945168
2011/2/22,-0.021285232,0.377340907,0.550554301,0.227339141
2011/2/23,-0.003656396,0.348914729,0.207522638,0.471466252
2011/2/24,-0.013442252,0.306622624,0.541197484,0.179122882
2011/2/25,0.018035975,0.390393145,-0.254622667,0.863495812
2011/2/28,0.014051893,0.513125432,-0.040139738,0.92828771
2011/3/1,0.002499229,0.481288487,0.034399201,0.817428835
2011/3/2,-0.014975386,0.36729364,-0.209225936,0.866470147
2011/3/3,0.003195076,0.493319037,-0.039397523,1.057126901
2011/3/4,0.012311874,0.516284697,-0.035457112,1.045835478
2011/3/7,-0.004095288,0.418052199,0.147172855,0.671087844
2011/3/8,0.016949302,0.260166321,0.102799477,0.468496692
2011/3/9,0.004141683,0.145865944,0.208819653,0.132609098
2011/3/10,-0.008232835,0.068273253,-0.112693568,0.206196277
2011/3/11,-0.015581776,0.181669204,0.282537521,0.026373933
2011/3/14,0.004124854,0.287199633,0.189373575,0.365328084
2011/3/15,-0.029014208,0.192812082,0.019097877,0.232805308
2011/3/16,0.000997375,0.276574597,0.505369508,0.013649571
2011/3/17,-0.018515462,0.301746744,0.179676019,0.350581808
2011/3/18,0.000708764,0.288149312,0.340863946,0.202658803
2011/3/21,0.017116619,0.26766797,-0.402902376,0.670815185
2011/3/22,0.00758318,0.312229658,-0.095279683,0.681971763
2011/3/23,-0.00142284,0.354466764,0.313962084,0.585291801
2011/3/24,0.003929986,0.332717898,0.172495239,0.574317926
2011/3/25,0.010565288,0.346765726,-0.022743891,0.891071066
2011/3/28,-0.003914612,0.40294694,0.183836521,0.643130159
2011/3/29,-0.000339486,0.343417782,0.104926887,0.674489784
2011/3/30,0.016816348,0.272179083,0.323059558,0.396308595
2011/3/31,0.003239326,0.426257969,-0.193787524,1.164665522
2011/4/1,0.01159461,0.670447616,-0.095973995,1.36271198
2011/4/4,0.014542987,0.550265236,0.162752333,0.916718069
2011/4/6,0.005552538,0.476874569,0.191653661,0.764619936
2011/4/7,-0.000133836,0.365669549,0.209983929,0.479680404
2011/4/8,0.004694955,0.226118403,0.046133653,0.383690179
2011/4/11,-0.003819374,0.246059318,0.177757808,0.260240923
2011/4/12,-0.013533918,0.241596903,0.174137943,0.280498558
2011/4/13,0.00659555,0.10194967,0.047107796,0.105694735
2011/4/14,-0.005027319,0.180889823,0.112801567,0.203576551
2011/4/15,-0.00024697,0.247815266,0.471374248,-0.017836248
2011/4/18,-0.007431724,0.268346486,0.173752437,0.346810356
2011/4/19,-0.013080817,0.266347688,0.030114168,0.430075868
2011/4/20,0.015837782,0.224026227,0.22639646,0.140536092
2011/4/21,0.010084939,0.26280171,-0.061450284,0.503161966
2011/4/26,-0.005438922,0.194549485,0.354760977,0.122446557
2011/4/27,-0.004782451,0.15791122,-0.395146482,0.676395839
2011/4/28,-0.003656725,0.28441275,-0.330034425,0.9642931
2011/4/29,-0.003569385,0.448943872,0.184708812,0.882438593
2011/5/3,-0.003698103,0.433908158,0.06570749,1.219553733
2011/5/4,-0.013547395,0.474601158,0.044278663,1.227149292
2011/5/5,-0.002302862,0.560426777,0.372763875,0.55534719
2011/5/6,-0.004414843,0.537562086,0.257441674,0.962505165
2011/5/9,0.007607714,0.411123532,0.427779205,0.41294285
2011/5/11,-0.001895865,0.384035248,0.30060349,0.399367137
2011/5/12,-0.009405326,0.342170526,0.205020016,0.455527625
2011/5/13,0.008738346,0.432303761,0.276792385,0.554988869
2011/5/16,-0.013653377,0.41706644,0.041402428,0.70931917
2011/5/17,-0.002596939,0.352080335,0.072340734,0.528126872
2011/5/18,0.004794375,0.263439145,0.205045391,0.322597817
2011/5/19,0.006594137,0.249537651,0.287697079,0.2507018
2011/5/20,0.001553402,0.271052927,0.261902216,0.240610468
2011/5/23,-0.021275716,0.139819429,-0.059072401,0.210806782
2011/5/24,0.000869684,0.088643024,-0.26274107,0.306053155
2011/5/25,0.000725625,0.108340561,0.186526369,0.016001544
2011/5/26,0.00672583,0.24916606,0.265724849,0.247882576
2011/5/27,0.009443155,0.287348459,0.183097215,0.457879292
2011/5/30,0.002861625,0.285765114,0.206699136,0.505834328
2011/5/31,0.021329015,0.33470784,0.077897053,0.747579254
2011/6/1,-0.002439203,0.345819068,0.178679185,0.809405392
2011/6/2,-0.015895721,0.306339058,-0.291665633,1.260327816
2011/6/3,-0.013171515,0.504433683,-0.096240271,1.170187405
2011/6/7,-0.003530913,0.56309997,0.203599015,0.973349147
2011/6/8,-0.009094666,0.481181303,0.126806822,0.893858967
2011/6/9,-0.002288418,0.414252981,0.329586126,0.512520786
2011/6/10,-0.008414847,0.371116342,0.4821118,0.339927608
2011/6/13,0.003904435,0.408065775,0.346030784,0.521600285
