Date,log_returns,hurst,hurstp,hurstm
2011/6/14,-0.00053684,0.39364083,0.464016414,0.294353844
2011/6/15,-0.006789981,0.330564018,0.213269526,0.373822362
2011/6/16,-0.01763872,0.425851546,0.162743301,0.644478227
2011/6/17,-0.011815012,0.437979315,0.695380187,0.394036276
2011/6/20,-0.004423174,0.401025525,0.45405859,0.392423869
2011/6/21,0.011557294,0.325691862,-0.134250312,0.552809133
2011/6/22,0.000429187,0.11844603,-0.485887792,0.531487688
2011/6/23,-0.004623211,0.15290782,-0.131292334,0.313810147
2011/6/24,0.018794077,0.200119575,-0.037158265,0.331956173
2011/6/27,-0.005888687,0.169121454,-0.23069376,0.628472166
2011/6/28,0.00090741,0.252836686,-0.237070643,1.013835297
2011/6/29,-2.72E-05,0.258709812,0.163456674,0.778809972
2011/6/30,0.015156631,0.266602606,0.231893159,0.543047461
2011/7/4,0.016488387,0.295568757,0.065315014,0.892874926
2011/7/5,-0.00098949,0.402441932,0.256020133,0.581460886
2011/7/6,-0.010180026,0.469901239,0.269982168,0.530536538
2011/7/7,0.000560739,0.235329471,0.169546884,0.269502513
2011/7/8,0.008672821,0.237676312,0.092431467,0.227088163
2011/7/11,-0.016826188,0.286945067,0.074537724,0.557821324
2011/7/12,-0.031089254,0.423136491,0.814434527,0.316277447
2011/7/13,0.012100159,0.450757687,0.220272102,0.590151625
2011/7/14,0.000607289,0.492405987,0.369444084,0.407937587
2011/7/15,-0.002958767,0.548265158,0.363131377,0.726773794
2011/7/18,-0.003233968,0.505837806,1.138961757,0.347478243
2011/7/19,0.004468384,0.45522952,1.116103471,-0.081948337
2011/7/20,0.004613947,0.361293523,0.164213471,0.39514233
2011/7/21,-0.000745607,0.364324353,0.244657171,0.389600095
2011/7/22,0.020594402,0.23583591,0.295154698,0.132316828
2011/7/25,-0.006773225,0.168081152,-0.259185389,0.553900493
2011/7/26,0.012428008,0.171998179,-0.121451217,0.809598426
2011/7/27,-0.001347261,0.245594725,-0.553995817,1.235023579
2011/7/28,0.001287894,0.331228363,-0.123287143,1.268693189
2011/7/29,-0.005798156,0.378370872,0.321656722,0.958383766
2011/8/1,0.009893743,0.272544863,0.030241586,0.940337848
2011/8/2,-0.010731429,0.369701599,-0.016234016,0.773124897
2011/8/3,-0.019307046,0.309442527,0.437208504,0.085709026
2011/8/4,-0.004921899,0.260669874,0.317154666,0.117885375
2011/8/5,-0.043835209,0.519483076,0.489054415,0.522102084
2011/8/8,-0.021989601,0.59715438,0.805627151,0.468865485
2011/8/9,-0.058270275,0.567393261,0.900272362,0.555606197
2011/8/10,0.023162344,0.501532586,0.350227364,0.702873875
2011/8/11,-0.009575274,0.242663357,-0.261235243,0.750453524
2011/8/12,0.001268388,0.312467464,-0.082144886,0.882752715
2011/8/15,0.032103471,0.406166245,1.35043744,0.445053844
2011/8/16,-0.002372989,0.419646667,0.514613296,0.66798621
2011/8/17,0.0037999,0.464387391,0.079954653,0.742831036
2011/8/18,-0.013534903,0.520199253,0.485411708,0.456509644
2011/8/19,-0.0312765,0.528452766,0.337791066,0.67119188
2011/8/22,0.004471963,0.470735646,0.351415224,0.623158518
2011/8/23,0.019748421,0.346324165,-0.295720372,1.451217305
2011/8/24,-0.02077939,0.373365597,-0.375255799,1.714228154
2011/8/25,0.014569116,0.350672983,0.195655179,1.253653105
2011/8/26,-0.008623338,0.298861394,0.02225726,1.345168312
2011/8/29,0.014309211,0.437042028,0.210523641,1.063378929
2011/8/30,0.016924092,0.554226634,0.221074161,1.043964561
2011/8/31,0.016234424,0.502210647,0.262897809,0.720873601
2011/9/1,0.002455243,0.460300984,0.33205139,0.713203774
2011/9/2,-0.018257177,0.483604555,0.962277469,0.137638431
2011/9/5,-0.029955558,0.437870594,0.337747506,0.36972001
2011/9/6,0.004785538,0.398016188,1.552165485,-0.089373497
2011/9/7,0.016977909,0.350543135,0.230791898,0.631924641
2011/9/8,-0.006765653,0.503789242,0.722517402,0.479913206
2011/9/9,-0.002322306,0.344877874,0.399769412,0.640301631
2011/9/12,-0.042996383,0.326258179,1.137746217,0.612731575
2011/9/14,0.000782646,0.217996438,0.323334068,0.382538654
2011/9/15,0.00711857,0.050186136,-0.959952151,0.641220658
2011/9/16,0.014173768,0.11305898,-0.672150337,0.502125993
2011/9/19,-0.028008834,0.320602288,0.310770997,0.355861635
2011/9/20,0.005106417,0.461420863,0.399088289,0.636927085
2011/9/21,-0.010075941,0.49160842,0.218602889,1.331809324
2011/9/22,-0.049673595,0.578814015,0.120058525,1.576127569
2011/9/23,-0.013666018,0.580657761,-0.165936781,1.57208641
2011/9/26,-0.014883689,0.652466542,0.363554262,1.292697689
2011/9/27,0.040679979,0.540072431,0.493488648,0.842292952
2011/9/28,-0.006612347,0.614597186,0.326806176,0.970226758
2011/9/30,-0.023518455,0.485350987,0.913062746,0.076502476
2011/10/3,-0.044771089,0.423181292,0.186999787,0.724485505
2011/10/4,-0.034586946,0.566206718,0.922637237,0.334001105
2011/10/6,0.055186932,0.545211857,0.950780708,0.327852566
2011/10/7,0.030664151,0.336589024,0.944894763,0.231340646
2011/10/10,0.000228697,0.318052229,0.399395432,0.206444237
2011/10/11,0.024017789,0.206879521,0.802517398,-0.381810374
2011/10/12,0.010302509,0.154365703,0.717718143,-0.328498854
2011/10/13,0.023100598,0.170307111,0.843934596,-0.004315928
2011/10/14,-0.013742715,0.208246343,0.511771407,0.223477735
2011/10/17,0.0199173,0.265043618,-0.050025069,0.529566919
2011/10/18,-0.043174244,0.252514331,-0.162412294,0.572998534
2011/10/19,0.012794219,0.311231667,-0.047912091,0.481792824
2011/10/20,-0.01797233,0.330191117,-0.148720547,0.668165911
2011/10/21,0.002367199,0.265944665,-0.08902845,1.026390202
2011/10/24,0.040557182,0.337752847,-0.198960961,1.092270177
2011/10/25,0.010407084,0.505044808,0.063751331,1.197969714
2011/10/26,0.005171074,0.671998409,0.477765193,1.108589519
2011/10/27,0.032109901,0.668546017,0.499741897,1.016261046
2011/10/28,0.016648944,0.726419599,0.127345767,1.359626386
2011/10/31,-0.007740966,0.562829429,0.239583841,0.840181408
2011/11/1,-0.025229433,0.580891114,0.369008383,0.815976973
2011/11/2,0.018604929,0.592450435,1.053345619,0.185900107
2011/11/3,-0.025206966,0.510775805,0.690357393,0.444793204
