Date,log_returns,Hurst
2013/2/1,0.011147031,0.434286605
2013/2/4,-0.015944337,0.421551969
2013/2/5,0.005733638,0.413806322
2013/2/6,0.002000303,0.418160095
2013/2/7,-0.010686988,0.41825923
2013/2/8,0.005685095,0.409563468
2013/2/11,0.002093934,0.419462145
2013/2/12,0.009721497,0.421868367
2013/2/13,0.003265215,0.427897564
2013/2/14,-0.005005343,0.429905538
2013/2/15,0.000142229,0.428873995
2013/2/18,-0.001592542,0.426852361
2013/2/19,0.009589544,0.434549223
2013/2/20,0.002551972,0.432527187
2013/2/21,-0.016368417,0.446506364
2013/2/22,0.006994431,0.44487847
2013/2/25,0.00309982,0.443529675
2013/2/26,-0.013453597,0.434444386
2013/2/27,0.008802628,0.431553312
2013/2/28,0.005506572,0.431350191
2013/3/1,0.00279291,0.436798081
2013/3/4,-0.005182251,0.425929881
2013/3/5,0.013511371,0.421089882
2013/3/6,-0.000670317,0.40903951
2013/3/7,0.001790655,0.414373843
2013/3/8,0.00687473,0.413264372
2013/3/11,0.003087656,0.401725545
2013/3/12,0.001074207,0.39377241
2013/3/13,-0.004482725,0.401845828
2013/3/14,0.007364622,0.410301609
2013/3/15,-0.006107987,0.406674119
2013/3/18,-0.004901316,0.403076488
2013/3/19,-0.002573796,0.405819686
2013/3/20,-0.001339131,0.402850636
2013/3/21,-0.006887031,0.398125938
2013/3/22,0.000658774,0.391843156
2013/3/25,-0.002251953,0.398384045
2013/3/26,0.003285401,0.393423446
2013/3/27,-0.001847199,0.396615487
2013/3/28,0.003778336,0.40037527
2013/4/2,0.012233536,0.399327528
2013/4/3,-0.01090249,0.391844796
2013/4/4,-0.011933331,0.39451272
2013/4/5,-0.014982137,0.397128834
2013/4/8,0.004336337,0.408220733
2013/4/9,0.005761663,0.41274077
2013/4/10,0.01167834,0.419073248
2013/4/11,0.004494088,0.417537978
2013/4/12,-0.004960742,0.419884169
2013/4/15,-0.006409518,0.423048532
2013/4/16,-0.006170077,0.421891896
2013/4/17,-0.009621719,0.417655266
2013/4/18,-8.65E-05,0.419269032
2013/4/19,0.006850643,0.422917885
2013/4/22,-0.000950092,0.424353634
2013/4/23,0.019785082,0.411378267
2013/4/24,0.003994434,0.405622591
2013/4/25,0.001682415,0.404397072
2013/4/26,-0.002513015,0.415392547
2013/4/29,0.004905151,0.433028772
2013/4/30,-0.004329569,0.448995551
2013/5/1,0.00328691,0.451569866
2013/5/2,0.001459108,0.452394718
2013/5/3,0.009359058,0.451458884
2013/5/7,0.005480656,0.462096826
2013/5/8,0.003984548,0.444866558
2013/5/9,0.001405563,0.432353536
2013/5/10,0.004878309,0.416274997
2013/5/13,0.001022876,0.417634994
2013/5/14,0.008154533,0.42210026
2013/5/15,0.001119614,0.424270958
2013/5/16,-0.000859405,0.414328392
2013/5/17,0.005258437,0.421187109
2013/5/20,0.004832823,0.427032412
2013/5/21,0.007115337,0.426212822
2013/5/22,0.005335637,0.42365481
2013/5/23,-0.021198897,0.409651504
2013/5/24,-0.006359034,0.393453672
2013/5/28,0.01605091,0.385369767
2013/5/29,-0.020142318,0.376679138
2013/5/30,0.004489565,0.377083323
2013/5/31,-0.01116319,0.37373151
2013/6/3,-0.008844896,0.377097857
2013/6/4,0.005114772,0.385753038
2013/6/5,-0.021463481,0.415936635
2013/6/6,-0.01304562,0.425162402
2013/6/7,0.01190466,0.43248918
2013/6/10,-0.001801375,0.439790168
2013/6/11,-0.009476914,0.462921424
2013/6/12,-0.006429059,0.490885716
2013/6/13,0.000821956,0.498894698
2013/6/14,0.000575602,0.490467182
2013/6/17,0.003517757,0.488041013
2013/6/18,0.006882519,0.489002779
2013/6/19,-0.003991193,0.500414844
2013/6/20,-0.03027174,0.497048401
2013/6/21,-0.007061145,0.505014903
2013/6/24,-0.014338338,0.513650683
2013/6/25,0.012004091,0.514623105
2013/6/26,0.010364156,0.507888727
2013/6/27,0.012558913,0.498778489
2013/6/28,-0.00448356,0.48383402
2013/7/1,0.014742447,0.470284088
2013/7/2,-0.000608957,0.463485524
2013/7/3,-0.011819369,0.473506614
2013/7/4,0.030322743,0.470911386
2013/7/5,-0.007212552,0.464131419
2013/7/8,0.011625327,0.455425178
2013/7/9,0.009721479,0.461494664
2013/7/10,-0.0012475,0.471066718
2013/7/11,0.005893473,0.490712578
2013/7/12,0.000233796,0.49040427
2013/7/15,0.006270654,0.495955097
2013/7/16,-0.00452884,0.504510009
2013/7/17,0.002373503,0.519055008
2013/7/18,0.009454656,0.527028514
2013/7/19,-0.00055635,0.542793069
2013/7/22,-0.001131748,0.541254307
2013/7/23,-0.003892412,0.550852709
2013/7/24,0.003478628,0.569898089
2013/7/25,-0.0049181,0.584843512
2013/7/26,-0.005046143,0.562757599
2013/7/29,0.000832632,0.547260184
2013/7/30,0.001629707,0.53631346
2013/7/31,0.007597059,0.536366062
2013/8/1,0.009158873,0.529536921
2013/8/2,-0.005117848,0.53586078
2013/8/5,-0.004264579,0.523495589
2013/8/6,-0.002324599,0.520386904
2013/8/7,-0.014182018,0.529630261
2013/8/8,0.002832631,0.542258684
2013/8/9,0.008191873,0.526799292
2013/8/12,-0.001375617,0.528192469
2013/8/13,0.005702913,0.533102878
2013/8/14,-0.003713818,0.539672876
2013/8/15,-0.015927478,0.534595908
2013/8/16,0.002564829,0.539677256
2013/8/19,-0.005284717,0.535555
2013/8/20,-0.0018995,0.536791464
2013/8/21,-0.009750706,0.538542912
2013/8/22,0.008729027,0.550354401
2013/8/23,0.006991311,0.552390467
2013/8/27,-0.007906903,0.558530303
2013/8/28,-0.00169528,0.553157931
