date,log_returns,hurst,hurstm
2011/6/23,0.006557229,0.485557833,0.624012671
2011/6/24,-0.012682673,0.470512211,0.594658061
2011/6/27,0.013251972,0.458505595,0.45256612
2011/6/28,0.015147246,0.447125787,0.543825996
2011/6/29,0.004087907,0.506505177,0.628482217
2011/6/30,0.011980535,0.493863475,0.585649706
2011/7/1,0.01521082,0.516202662,0.684662547
2011/7/5,0.003452802,0.523584464,0.651188363
2011/7/6,0.002915305,0.552734795,0.592415057
2011/7/7,0.013542231,0.554663645,0.679470419
2011/7/8,-0.004483241,0.539713605,0.64872598
2011/7/11,-0.020200495,0.519145073,0.600414827
2011/7/12,-0.007416952,0.490603345,0.683414476
2011/7/13,0.00538107,0.508456698,0.724950555
2011/7/14,-0.012321208,0.509852746,0.723787374
2011/7/15,0.009772305,0.515568781,0.733475895
2011/7/18,-0.008889491,0.506598434,0.730790976
2011/7/19,0.021965856,0.456698394,0.686871866
2011/7/20,-0.004357583,0.466527445,0.698992668
2011/7/21,0.007152169,0.489467169,0.59531663
2011/7/22,0.008571591,0.469983892,0.6401644
2011/7/25,-0.005622968,0.476738703,0.654172287
2011/7/26,-0.000999514,0.431170819,0.641912825
2011/7/27,-0.026825285,0.421871779,0.607141132
2011/7/28,0.00052793,0.415331409,0.60025644
2011/7/29,-0.003574388,0.409359796,0.566430015
2011/8/1,-0.004279236,0.41687911,0.46737602
2011/8/2,-0.027845201,0.412855239,0.475209378
2011/8/3,0.008888019,0.430140007,0.497948695
2011/8/4,-0.0520857,0.444413096,0.41972299
2011/8/5,-0.009424689,0.464444268,0.514910604
2011/8/8,-0.071489092,0.424918611,0.403283696
2011/8/9,0.051591847,0.394552769,0.388010127
2011/8/10,-0.041732606,0.395456302,0.38044482
2011/8/11,0.04581687,0.361456292,0.376587945
2011/8/12,0.006119211,0.356185902,0.353885853
2011/8/15,0.01865285,0.335839937,0.344483798
2011/8/16,-0.012503486,0.333585984,0.348199613
2011/8/17,-0.004754792,0.33493445,0.349293753
2011/8/18,-0.053591077,0.300618209,0.278527475
2011/8/19,-0.016344198,0.30609308,0.226936971
2011/8/22,0.001510491,0.315103863,0.268906565
2011/8/23,0.042031131,0.357403079,0.367573355
2011/8/24,0.008803924,0.371452306,0.393687729
2011/8/25,-0.019667854,0.362837773,0.403920123
2011/8/26,0.024583439,0.362162794,0.37191313
2011/8/29,0.032633063,0.355662784,0.287638447
2011/8/30,0.005449371,0.343187955,0.275180549
2011/8/31,0.001299566,0.337424852,0.244608046
2011/9/1,-0.013040864,0.347876368,0.348084759
2011/9/2,-0.026147595,0.343507335,0.382192178
2011/9/6,-0.002624059,0.339963153,0.373384137
2011/9/7,0.029910029,0.400170849,0.396743653
2011/9/8,-0.007798262,0.386405971,0.433183336
2011/9/9,-0.02447527,0.356859651,0.408808952
2011/9/12,0.010920747,0.353204255,0.414935349
2011/9/13,0.014743944,0.36695834,0.353641792
2011/9/14,0.015828881,0.358154301,0.32307326
2011/9/15,0.01332936,0.35818027,0.357446123
2011/9/16,0.005828623,0.350836658,0.287873137
2011/9/19,-0.003621684,0.34433325,0.285172316
2011/9/20,-0.00868339,0.354572451,0.383336034
2011/9/21,-0.020299307,0.37349273,0.339478256
2011/9/22,-0.033051592,0.371534976,0.400890976
2011/9/23,0.011160496,0.376326735,0.344833239
2011/9/26,0.013384414,0.385848146,0.411875006
2011/9/27,0.011904903,0.407235773,0.384973033
