,date,close,open,high,low,vol,return,log_returns,volatility_increments,log_volumes,hurst,hurstp,hurstm
0,2011/1/18,2765.85,2744.8,2766.17,2744.26,500.18,0.0038,0.0038216722387120973,0.20706558494150418,0.058858069609857934,0.7888990426662458,0.7944360729924901,0.8220531660018717
1,2011/1/19,2725.36,2762.81,2764.35,2717.79,491.3,-0.0146,-0.014747472355965338,0.27340056782955546,-0.01791309446313703,0.7737344263801573,0.8925632986917907,0.7472082260534235
2,2011/1/20,2704.29,2712.4,2714.1,2686.59,566.67,-0.0077,-0.007761128530464618,0.27795049617004164,0.14272218453723526,0.7678983312661335,0.8725321618472264,0.7482576314863796
3,2011/1/21,2689.54,2716.92,2722.74,2688.53,521.36,-0.0055,-0.005469225677243433,0.08092538241762792,-0.08333634168771292,0.7738046405108204,0.7883787636260218,0.8029281633847654
4,2011/1/24,2717.55,2693.03,2719.73,2687.97,431.67,0.0104,0.010360563834519786,0.09439396428074254,-0.18877937458068905,0.7884096963747386,0.7513494653087215,0.8316959519293317
5,2011/1/25,2719.25,2704.25,2719.34,2697.51,458.23,0.0006,0.0006253678838300908,-0.037246031708645155,0.05970983402497497,0.7867962115836015,0.8234843861547079,0.7854343392633992
6,2011/1/26,2739.5,2724.52,2746.03,2717.63,480.26,0.0074,0.007419315004510769,-0.10358315929797879,0.04695638245175759,0.7678841445118932,0.8453345972168882,0.7384427733898787
7,2011/1/27,2755.28,2745.16,2763.64,2740.3,481.92,0.0058,0.005743648838050567,-0.19264490663020872,0.0034505012513058445,0.770662976859396,0.7873224790040563,0.8063728475359562
8,2011/1/28,2686.89,2755.28,2755.28,2679.57,565.43,-0.0248,-0.02513467988790844,0.25545414214491036,0.15980837846108162,0.7697215989078676,0.7881940353939494,0.8143599573091063
9,2011/1/31,2700.08,2693.3,2706.3,2676.87,506.64,0.0049,0.004897011254488821,0.11583995983945972,-0.10978581142438087,0.7573817440199835,0.7712339127598591,0.7920919260282032
10,2011/2/1,2751.19,2717.61,2755.97,2716.64,523.2,0.0189,0.01875214315079774,0.11782755207271611,0.03216310793481417,0.7531309180348594,0.7732095857603506,0.775800710854503
11,2011/2/2,2749.56,2751.19,2758.51,2743.76,464.81,-0.0006,-0.0005926464746476294,0.007899225813761568,-0.11833508020677558,0.7645755189658995,0.7706692687090909,0.8011535357963093
12,2011/2/3,2753.88,2746.74,2757.54,2725.78,488.25,0.0016,0.001569927495269141,-0.05319556877662812,0.04919884982057478,0.763007024336196,0.7581271666135971,0.8343092134460153
13,2011/2/4,2769.3,2755.85,2769.7,2747.86,466.99,0.0056,0.005583754309694923,-0.227204790488734,-0.04451972559338968,0.7381830798145383,0.6928644736144189,0.8292489964917621
14,2011/2/7,2783.99,2773.26,2796.5,2772.81,416.65,0.0053,0.005290569829620559,-0.2527821435259199,-0.11406130333518286,0.7425823171894652,0.6948451353355027,0.8376836381525518
15,2011/2/8,2797.05,2782.41,2797.05,2776.35,411.28,0.0047,0.004680139844376047,-0.31906056192610155,-0.012972293080966589,0.7443067810363317,0.696169449435229,0.8388348114567651
16,2011/2/9,2789.07,2791.13,2798.91,2780.89,466.49,-0.0029,-0.0028570834240384925,0.014810461906255235,0.12596233608316612,0.7183023408680625,0.6591554447942914,0.7988702304248214
17,2011/2/10,2790.45,2764.76,2791.43,2762.34,601.57,0.0005,0.0004946662179324996,0.0031109640680044848,0.2543063205405369,0.7288273192067143,0.6736928858319567,0.7940384036636754
18,2011/2/11,2809.44,2783.16,2810.56,2778.21,486.9,0.0068,0.006782302078914176,-0.03601898087344946,-0.2114841411822972,0.7204763547001878,0.6684045914238832,0.7857004451849382
19,2011/2/14,2817.18,2810.19,2819.87,2808.27,468.9,0.0028,0.0027512093875552254,-0.08138499628491935,-0.03766923709311463,0.7204291916202169,0.6657096273674691,0.793939731229943
20,2011/2/15,2804.35,2809.02,2813.13,2798.83,495.1,-0.0046,-0.004564601550363525,-0.11046066481779526,0.05437023627183689,0.7192150165599934,0.6595994868722793,0.7909522344826695
21,2011/2/16,2825.56,2815.09,2828.19,2811.52,530.03,0.0076,0.007534791975836845,0.17740442794013322,0.0681738463504418,0.7145473016496863,0.6791875636807815,0.7806164274389229
22,2011/2/17,2831.58,2816.12,2835.2,2815.08,458.3,0.0021,0.00212828470652916,0.0943888466177576,-0.14540961720274082,0.7209573419488107,0.6911511531561118,0.77674861557713
23,2011/2/18,2833.95,2833.35,2840.51,2823.65,597.63,0.0008,0.000836638456858482,-0.009347602390897158,0.26544784184672393,0.714897820503999,0.6989992156014028,0.7697775040963779
24,2011/2/22,2756.42,2795.44,2808.18,2752.75,575.02,-0.0274,-0.027738761889755253,0.026538848938225,-0.03856701056065708,0.7110824568681223,0.6677504084925016,0.7754845181002412
25,2011/2/23,2722.99,2755.2,2761.7,2705.54,588.49,-0.0121,-0.012202195050790116,0.7742718268513613,0.023155111401373708,0.7072682384094946,0.6661523997948934,0.7725041242920169
26,2011/2/24,2737.9,2726.59,2745.29,2707.63,539.6,0.0055,0.005460661925025639,0.037503556655237524,-0.08673180986891797,0.7030564705895209,0.6594899237831385,0.7677842931305492
27,2011/2/25,2781.05,2752.16,2781.12,2751.81,468.6,0.0158,0.01563735104461787,0.07224804761797676,-0.14107859825990549,0.6952549023641901,0.6488667833320312,0.7655203477231709
28,2011/2/28,2782.27,2791.28,2798.43,2767.61,575.72,0.0004,0.0004385870377961909,0.004901110652523855,0.20587190532077468,0.7043262552768713,0.6626789524367831,0.7697154807055057
29,2011/3/1,2737.41,2791.08,2791.23,2730.72,580.4,-0.0161,-0.016254923382354465,-0.015686557975698623,0.008096089615562685,0.688813166598138,0.6976581905259961,0.6864283756962304
30,2011/3/2,2748.07,2735.05,2763.95,2734.08,492.07,0.0039,0.0038866292171549225,-0.39449915423389026,-0.1650965382152907,0.6909756824224141,0.7032549238887625,0.6855961990499437
31,2011/3/3,2798.74,2774.48,2802.32,2774.48,503.92,0.0184,0.018270468793778468,0.00946210248854129,0.023796542518931707,0.6893298963769291,0.6987926229982528,0.6829280555310848
32,2011/3/4,2784.67,2797.64,2798.07,2768.12,489.53,-0.005,-0.00503994146325322,0.014123968843904322,-0.028971778193502565,0.6891245638722411,0.695315544840847,0.6831810461324284
