date,log_returns,hurst,hurstm
2011/6/23,0.006557229,0.729569137,0.843579173
2011/6/24,-0.012682673,0.703550355,0.767525128
2011/6/27,0.013251972,0.752809442,0.743490334
2011/6/28,0.015147246,0.729698295,0.774780185
2011/6/29,0.004087907,0.766500398,0.855874828
2011/6/30,0.011980535,0.689857631,0.763813111
2011/7/1,0.01521082,0.737486807,0.860480182
2011/7/5,0.003452802,0.779123209,0.928803828
2011/7/6,0.002915305,0.807704108,0.929166342
2011/7/7,0.013542231,0.818982045,0.916351838
2011/7/8,-0.004483241,0.800411469,0.88795744
2011/7/11,-0.020200495,0.80694815,0.891525878
2011/7/12,-0.007416952,0.787948148,0.908135183
2011/7/13,0.00538107,0.802757996,0.946655418
2011/7/14,-0.012321208,0.814646123,0.960622221
2011/7/15,0.009772305,0.812775429,0.954177179
2011/7/18,-0.008889491,0.804671385,0.941963561
2011/7/19,0.021965856,0.748139329,0.868092759
2011/7/20,-0.004357583,0.762383917,0.880762267
2011/7/21,0.007152169,0.746208895,0.833548392
2011/7/22,0.008571591,0.737184158,0.814871601
2011/7/25,-0.005622968,0.750016423,0.866568464
2011/7/26,-0.000999514,0.714758558,0.806379333
2011/7/27,-0.026825285,0.727714263,0.800918806
2011/7/28,0.00052793,0.720730842,0.796810468
2011/7/29,-0.003574388,0.707325043,0.831575862
2011/8/1,-0.004279236,0.715346996,0.715499415
2011/8/2,-0.027845201,0.722147109,0.741962256
2011/8/3,0.008888019,0.73459545,0.743217011
2011/8/4,-0.0520857,0.736081732,0.753738889
2011/8/5,-0.009424689,0.754458969,0.769430153
2011/8/8,-0.071489092,0.727691587,0.863081831
2011/8/9,0.051591847,0.773155636,0.86305937
2011/8/10,-0.041732606,0.77549485,0.893586327
2011/8/11,0.04581687,0.744867262,0.975435776
2011/8/12,0.006119211,0.727997657,0.925699828
2011/8/15,0.01865285,0.733988006,0.88233525
2011/8/16,-0.012503486,0.737118799,0.913412857
2011/8/17,-0.004754792,0.740118134,0.889016575
2011/8/18,-0.053591077,0.739506678,0.902529261
2011/8/19,-0.016344198,0.746258325,0.902706179
2011/8/22,0.001510491,0.743878582,0.895009677
2011/8/23,0.042031131,0.798374631,0.945729968
2011/8/24,0.008803924,0.813598433,0.783782066
2011/8/25,-0.019667854,0.835163567,0.984095217
2011/8/26,0.024583439,0.816004346,0.890987797
2011/8/29,0.032633063,0.799845343,0.881362064
2011/8/30,0.005449371,0.775056658,0.873634429
2011/8/31,0.001299566,0.777308656,0.842266846
2011/9/1,-0.013040864,0.800829962,0.86595452
2011/9/2,-0.026147595,0.795465301,0.769895842
2011/9/6,-0.002624059,0.784111698,0.759969989
2011/9/7,0.029910029,0.781408042,0.844682004
2011/9/8,-0.007798262,0.787019494,0.953902222
2011/9/9,-0.02447527,0.781183173,0.822370262
2011/9/12,0.010920747,0.765466126,0.925614818
2011/9/13,0.014743944,0.791680128,0.945414867
2011/9/14,0.015828881,0.812875211,0.993019666
2011/9/15,0.01332936,0.805483718,0.933776277
2011/9/16,0.005828623,0.815794214,0.806946439
2011/9/19,-0.003621684,0.7872744,0.784292396
2011/9/20,-0.00868339,0.790857372,0.801678996
2011/9/21,-0.020299307,0.789764895,0.729648727
2011/9/22,-0.033051592,0.775926219,0.798496297
2011/9/23,0.011160496,0.767545636,0.788855155
2011/9/26,0.013384414,0.785639524,0.803564442
2011/9/27,0.011904903,0.796225519,0.816444167
2011/9/28,-0.021932401,0.777208489,0.803106058
2011/9/29,-0.004352083,0.772250333,0.807980899
2011/9/30,-0.02670006,0.763190651,0.757791599
2011/10/3,-0.033497617,0.779814466,0.776938408
2011/10/4,0.029107768,0.79009123,0.742321558
2011/10/5,0.022893589,0.767849098,0.696540177
2011/10/6,0.018646372,0.795975553,0.656874414
2011/10/7,-0.011018589,0.793536386,0.685020498
2011/10/10,0.034371323,0.776133527,0.780612537
2011/10/11,0.006595377,0.777548757,0.757365751
2011/10/12,0.008365895,0.768882434,0.773307531
2011/10/13,0.005936894,0.762220096,0.767848899
2011/10/14,0.018006988,0.736087443,0.745730383
2011/10/17,-0.0200394,0.738180986,0.721889637
2011/10/18,0.016125986,0.737418183,0.746538749
2011/10/19,-0.020295405,0.737928273,0.726634694
2011/10/20,-0.00208355,0.742764281,0.734039624
2011/10/21,0.014835798,0.753908684,0.736370153
2011/10/24,0.023228011,0.752544816,0.739573368
