,Unnamed: 0,Date,Open,High,Low,Close,QPLp1,QPLp2,QPLp3,QPLp4,QPLp5,QPLp6,QPLp7,QPLp8,QPLp9,QPLp10,QPLp11,QPLp12,QPLp13,QPLp14,QPLp15,QPLp16,QPLp17,QPLp18,QPLp19,QPLp20,QPLp21,QPLn1,QPLn2,QPLn3,QPLn4,QPLn5,QPLn6,QPLn7,QPLn8,QPLn9,QPLn10,QPLn11,QPLn12,QPLn13,QPLn14,QPLn15,QPLn16,QPLn17,QPLn18,QPLn19,QPLn20,QPLn21,vol,log_returns,volatility_increments,log_volumes,hurst,hurstp,hurstm
0,262.0,2011/1/17,24364.07,24364.07,24098.03,24156.97,24422.49402,24559.83639,24730.45893,24922.0462,25130.57943,25353.56353,25589.26542,25836.39695,26093.95565,26361.13478,26637.26839,26921.7956,27214.23627,27514.17387,27821.2429,28135.1196,28455.51475,28782.16814,29114.84417,29453.32832,29797.42424,24305.78574,24169.86406,24003.10923,23818.58625,23620.93992,23413.19421,23197.53605,22975.64587,22748.86625,22518.2987,22284.86413,22049.34306,21812.40366,21574.62222,21336.49848,21098.46752,20860.90911,20624.15535,20388.49679,20154.18769,19921.45033,1.21,-0.005213037350553531,-0.02982309560915475,-0.23464737579569442,0.36226952953940794,0.5590950551764693,0.11448933647612881
1,263.0,2011/1/18,24149.44,24382.01,24104.34,24153.98,24207.34935,24343.48183,24512.6013,24702.50083,24909.19704,25130.2168,25363.84232,25608.79681,25864.0866,26128.91207,26402.61314,26684.63387,26974.49835,27271.79371,27576.15769,27887.26935,28204.84205,28528.61786,28858.36326,29193.8656,29534.93028,24091.66919,23956.94488,23791.65904,23608.76157,23412.85636,23206.94075,22993.18238,22773.24689,22548.46503,22319.92862,22088.55045,21855.10415,21620.25202,21384.56526,21148.53922,20912.60514,20677.13945,20442.47132,20208.88874,19976.64374,19745.95663,1.29,-0.0001237814617107821,-0.12104136242070407,0.06402185876493102,0.45268573876953255,0.3983949335097714,0.5969195302926497
2,264.0,2011/1/19,24321.25,24434.4,24243.88,24419.62,24379.57134,24516.67233,24686.99499,24878.24555,25086.41229,25309.00449,25544.29213,25790.98933,26048.09537,26314.80493,26590.45323,26874.48038,27166.40709,27465.81754,27772.3469,28085.67196,28405.50401,28731.58331,29063.67466,29401.56391,29745.05509,24263.06818,24127.38538,23960.92362,23776.72494,23579.42597,23372.04538,23156.76624,22935.26603,22708.88498,22478.72265,22245.69835,22010.59121,21774.06823,21536.70469,21298.99946,21061.38683,20824.24594,20587.90827,20352.66388,20118.76658,19886.43826,1.36,0.010937737713286825,-0.4830034318166039,0.05284248137437998,0.46327486352630304,0.7310494498945301,0.33209396352229736
3,265.0,2011/1/20,24248.32,24248.32,23963.86,24003.7,24306.46646,24443.15633,24612.96827,24803.64534,25011.18786,25233.1126,25467.6947,25713.65215,25969.98723,26235.89703,26510.71877,26793.89423,27084.94557,27383.4582,27689.0684,28001.45392,28320.32692,28645.42843,28976.52397,29313.40002,29655.8612,24190.31264,24055.03671,23889.0741,23705.42776,23508.72042,23301.96168,23087.32807,22866.49206,22640.78983,22411.31767,22178.99212,21944.58998,21708.77624,21472.12446,21235.13201,20998.2319,20761.8021,20526.17311,20291.63413,20058.4382,19826.80654,1.53,-0.017178922413770756,0.4100525970632196,0.11778303565638346,0.47271722817712386,0.14639809766175724,0.6714396257001992
4,266.0,2011/1/21,23913.19,24130.16,23840.29,23876.86,23970.53283,24105.33355,24272.79855,24460.84033,24665.51446,24884.37203,25115.71202,25358.27016,25611.06249,25873.29722,26144.32072,26423.58248,26710.61127,27004.99824,27306.38467,27614.45278,27928.91872,28249.52709,28576.04664,28908.26681,29245.99492,23855.98435,23722.57803,23558.90915,23377.80094,23183.81224,22979.91106,22768.24386,22550.45996,22327.87711,22101.57643,21872.46179,21641.29926,21408.74465,21175.36357,20941.64654,20708.02056,20474.8584,20242.48598,20011.18851,19781.21552,19552.78518,1.34,-0.005298196040692796,0.16700481853078308,-0.1325981214415241,0.4654105409292778,0.06481421535405657,0.6253717482404594
5,267.0,2011/1/24,23970.3,23970.3,23751.72,23801.78,24027.77978,24162.90243,24330.76738,24519.25824,24724.42118,24943.80142,25175.69391,25418.83133,25672.22739,25935.08839,26206.75915,26486.68786,26774.40213,27069.49216,27371.59837,27680.40222,27995.61917,28316.99322,28644.29257,28977.30616,29315.84084,23912.95773,23779.2328,23615.17305,23433.63231,23239.18032,23034.79218,22822.61947,22604.31546,22381.20103,22154.35989,21924.69808,21692.98348,21459.87347,21225.93504,20991.65983,20757.4759,20523.7569,20290.82953,20058.97966,19828.45745,19599.48157,1.2,-0.003149421294691198,0.012207844111418176,-0.11034805716886546,0.5212279731552136,0.1393412988227986,0.6980097738952856
6,268.0,2011/1/25,23891.68,23999.11,23769.46,23788.83,23948.97125,24083.65071,24250.96509,24438.83771,24643.32774,24861.98844,25093.12035,25335.46031,25588.02525,25850.0241,26120.80381,26399.81438,26686.58498,26980.70715,27281.82248,27589.61349,27903.79656,28224.11653,28550.34238,28882.26372,29219.68804,23834.52581,23701.23948,23537.71783,23356.77252,23162.95832,22959.24055,22747.76374,22530.17574,22307.7931,22081.69598,21852.78743,21621.83283,21389.4874,21156.31626,20922.80945,20689.39362,20456.44119,20224.27779,19993.18837,19763.42224,19535.19738,1.04,-0.0005442250191634466,0.0017923346709034504,-0.1431008436406733,0.49010195222971553,0.08953208005326688,0.8007655555192207
7,269.0,2011/1/26,23802.88,23976.37,23662.18,23843.24,23859.95831,23994.1372,24160.8297,24348.00405,24551.73403,24769.58203,24999.85487,25241.2941,25492.92032,25753.94537,26023.71866,26301.6922,26587.39695,26880.42593,27180.42208,27487.0691,27800.08442,28119.21384,28444.22718,28774.91484,29111.08503,23745.93823,23613.14731,23450.23343,23269.96065,23076.86681,22873.90622,22663.21542,22446.43615,22224.88005,21999.62328,21771.56554,21541.46934,21309.98749,21077.68299,20845.04407,20612.4958,20380.4092,20149.1087,19918.87819,19689.96605,19462.58945,1.32,0.002284596225422782,-0.00018511268436327555,0.23841102344499815,0.386775668236608,0.07627699225438277,0.6527019903200756
8,270.0,2011/1/27,23771.12,24023.68,23734.7,23779.62,23828.12215,23962.12201,24128.59209,24315.5167,24518.97484,24736.53216,24966.49775,25207.61483,25458.90531,25719.58208,25988.99541,26266.59806,26551.92159,26844.55958,27144.15546,27450.39331,27762.99098,28081.69459,28406.27427,28736.5207,29072.24233,23714.25421,23581.64047,23418.94396,23238.91172,23046.07553,22843.38574,22632.97606,22416.48604,22195.22557,21970.26935,21742.5159,21512.72673,21281.55374,21049.5592,20817.23069,20584.9927,20353.21577,20122.2239,19892.30058,19663.69388,19436.62066,1.59,-0.002671827683041708,-0.4694031309625437,0.1861022796338607,0.4126895146790249,0.06322705079365137,0.7313914189882654
9,271.0,2011/1/28,23763.74,23763.74,23580.42,23617.02,23820.72445,23954.68271,24121.10111,24307.96768,24511.36266,24728.85244,24958.74664,25199.78886,25451.00132,25711.59716,25980.92685,26258.44331,26543.67826,26836.2254,27135.72826,27441.87104,27754.37166,28072.97633,28397.45523,28727.59913,29063.21654,23706.89187,23574.31929,23411.6733,23231.69695,23038.92062,22836.29377,22625.94941,22409.5266,22188.33482,21963.44845,21735.76571,21506.04787,21274.94665,21043.02414,20810.76776,20578.60187,20346.8969,20115.97674,19886.1248,19657.58907,19430.58635,1.5,-0.006861272777720785,-0.4870809417081965,-0.05826890812397588,0.36372694825849294,-0.0851744849051404,0.7172779804850858
