Date,log_returns,Hurst
2011/2/1,0.01238771,0.463053717
2011/2/2,0.000150319,0.454883205
2011/2/3,0.001683522,0.45271873
2011/2/4,0.002474912,0.45223058
2011/2/7,0.005729432,0.462266165
2011/2/8,0.005863566,0.473755299
2011/2/9,0.00055081,0.467431769
2011/2/10,-0.000866396,0.468405359
2011/2/11,0.003589018,0.468342077
2011/2/14,-0.000413179,0.467953916
2011/2/15,-0.003392556,0.459631634
2011/2/16,0.005019833,0.460351486
2011/2/17,0.002435962,0.454298941
2011/2/18,0.005917606,0.45248255
2011/2/22,-0.014506815,0.460145749
2011/2/23,-0.008800739,0.460041391
2011/2/24,-0.003084272,0.44784843
2011/2/25,0.005120068,0.453959602
2011/2/28,0.00787382,0.46162378
2011/3/1,-0.013862642,0.473082209
2011/3/2,0.000727881,0.471884089
2011/3/3,0.015737221,0.468834178
2011/3/4,-0.007231054,0.476159179
2011/3/7,-0.006582901,0.481241383
2011/3/8,0.0102328,0.475787554
2011/3/9,-0.000105619,0.479530323
2011/3/10,-0.018885001,0.485136522
2011/3/11,0.004976495,0.485440421
2011/3/14,-0.004263334,0.487034618
2011/3/15,-0.01155134,0.50644458
2011/3/16,-0.020634154,0.517068985
2011/3/17,0.013792827,0.514381039
2011/3/18,0.007102777,0.511924462
2011/3/21,0.014899596,0.508010012
2011/3/22,-0.001488246,0.497840966
2011/3/23,0.005591467,0.494948154
2011/3/24,0.006970508,0.476872912
2011/3/25,0.004102313,0.466544507
2011/3/28,-0.001860068,0.464832793
2011/3/29,0.006629134,0.466052593
2011/3/30,0.005814154,0.462734603
2011/3/31,-0.002503412,0.465333036
2011/4/1,0.004615246,0.464409675
2011/4/4,0.001881603,0.466276961
2011/4/5,-0.000494476,0.468025385
2011/4/6,0.002646991,0.465278599
2011/4/7,-0.001389905,0.448212571
2011/4/8,-0.002375196,0.446756743
2011/4/11,8.56E-05,0.439486504
2011/4/12,-0.00953803,0.433560442
2011/4/13,0.000604046,0.427855762
2011/4/14,0.001153276,0.417915937
2011/4/15,0.00460309,0.421231428
2011/4/18,-0.011428035,0.422421913
2011/4/19,0.005326079,0.422467343
2011/4/20,0.01511257,0.430389709
2011/4/21,0.00420281,0.434642261
2011/4/25,-0.002089982,0.445322162
2011/4/26,0.009211539,0.445483408
2011/4/27,0.007560643,0.451038145
2011/4/28,0.00568472,0.437487201
2011/4/29,0.003693621,0.428886061
2011/5/2,-0.000248264,0.435683875
2011/5/3,1.17E-05,0.442415996
2011/5/4,-0.006574753,0.437800833
2011/5/5,-0.01101729,0.429321642
2011/5/6,0.004327025,0.418429698
2011/5/9,0.003628266,0.416623438
2011/5/10,0.005948525,0.414117816
2011/5/11,-0.010266179,0.430234406
2011/5/12,0.00520337,0.441431865
2011/5/13,-0.007921227,0.435212137
2011/5/16,-0.003768679,0.430665459
2011/5/17,-0.005497068,0.447072461
2011/5/18,0.006437784,0.456692112
2011/5/19,0.003587455,0.450905515
2011/5/20,-0.007427566,0.443487647
2011/5/23,-0.010507342,0.458845022
2011/5/24,-0.002025268,0.462586355
2011/5/25,0.003106964,0.474022645
2011/5/26,0.000653294,0.479826061
2011/5/27,0.00312506,0.477816351
2011/5/31,0.010252227,0.471657352
2011/6/1,-0.022499001,0.485843255
2011/6/2,-0.003389752,0.482601093
2011/6/3,-0.007974695,0.478861621
2011/6/6,-0.005057512,0.470963612
2011/6/7,-0.001585215,0.480572986
2011/6/8,-0.001813452,0.484758163
2011/6/9,0.006239963,0.487386744
2011/6/10,-0.014325554,0.475489758
2011/6/13,8.87E-05,0.465590813
2011/6/14,0.010249338,0.465138474
2011/6/15,-0.014920159,0.477435655
2011/6/16,0.005385869,0.478521499
2011/6/17,0.003575086,0.480033055
2011/6/20,0.006312732,0.461740006
2011/6/21,0.009034115,0.442663533
2011/6/22,-0.006612457,0.433079252
2011/6/23,-0.004939647,0.434344021
2011/6/24,-0.009624591,0.417409617
2011/6/27,0.009090009,0.411770873
2011/6/28,0.011978395,0.413895877
2011/6/29,0.005949275,0.42925751
2011/6/30,0.012394508,0.448487376
2011/7/1,0.013476162,0.466102467
2011/7/5,-0.001025737,0.469723048
2011/7/6,0.004457084,0.488409605
2011/7/7,0.007375699,0.499520501
2011/7/8,-0.00490924,0.513790186
2011/7/11,-0.012036885,0.503364941
2011/7/12,-0.004719349,0.486740774
2011/7/13,0.00358723,0.486596438
2011/7/14,-0.00437167,0.489832956
2011/7/15,0.003420179,0.487195778
2011/7/18,-0.007606746,0.490274317
2011/7/19,0.016198921,0.485979286
2011/7/20,-0.001232942,0.497554522
2011/7/21,0.012057236,0.507970542
2011/7/22,-0.003404768,0.514658216
2011/7/25,-0.006992205,0.492284418
2011/7/26,-0.007292583,0.478756584
2011/7/27,-0.016026081,0.47722381
2011/7/28,-0.005088294,0.488934776
2011/7/29,-0.007945628,0.488110105
2011/8/1,-0.000885658,0.494620724
2011/8/2,-0.022157561,0.494713814
2011/8/3,0.002509779,0.509727795
2011/8/4,-0.044058445,0.536194216
2011/8/5,0.005338126,0.561145409
2011/8/8,-0.057061121,0.574891699
2011/8/9,0.039000626,0.589431605
2011/8/10,-0.047352823,0.605952032
2011/8/11,0.038733759,0.621863173
2011/8/12,0.01121805,0.614209205
2011/8/15,0.018801604,0.586872622
2011/8/16,-0.006725577,0.560749794
2011/8/17,0.000375173,0.562537385
2011/8/18,-0.037470026,0.556709218
2011/8/19,-0.015859483,0.559524821
2011/8/22,0.0034145,0.547390431
2011/8/23,0.029243063,0.54069949
2011/8/24,0.012797169,0.529744678
