Date,log_returns,QHL,QHLp,QHLm
2011/6/7,-0.001585215,0.320901284,0.68221455,-0.328214922
2011/6/8,-0.001813452,0.676574379,0.967120549,0.171274885
2011/6/9,0.006239963,0.725020173,0.57546134,1.056781392
2011/6/10,-0.014325554,0.75119839,0.346558438,0.966627952
2011/6/13,8.87E-05,0.587991472,0.757220202,0.31600815
2011/6/14,0.010249338,0.531682555,0.251746887,0.746039801
2011/6/15,-0.014920159,0.377264306,0.438210575,0.415318145
2011/6/16,0.005385869,0.426257857,-0.347429011,1.153396211
2011/6/17,0.003575086,0.467718241,-0.527442294,1.435286293
2011/6/20,0.006312732,0.440556073,0.455441066,0.617005143
2011/6/21,0.009034115,0.384662974,0.752365316,0.639661202
2011/6/22,-0.006612457,0.269413788,0.194132175,1.25028543
2011/6/23,-0.004939647,0.235274048,-0.08440242,1.296754813
2011/6/24,-0.009624591,0.028547129,0.222039225,0.347963588
2011/6/27,0.009090009,-0.055209398,0.196313191,0.217499087
2011/6/28,0.011978395,-0.013852622,0.278110261,-0.048733073
2011/6/29,0.005949275,0.121852197,0.402793973,-0.204484169
2011/6/30,0.012394508,0.166999503,0.190551206,0.032205074
2011/7/1,0.013476162,0.120343638,0.402836033,-0.444338254
2011/7/5,-0.001025737,0.113845464,0.489147577,-0.634262531
2011/7/6,0.004457084,0.192481603,0.52360031,-0.335365216
2011/7/7,0.007375699,0.439018384,0.779690553,0.09242436
2011/7/8,-0.00490924,0.459717731,0.865652065,0.206212515
2011/7/11,-0.012036885,0.400270606,0.425244946,0.202992612
2011/7/12,-0.004719349,0.337448095,0.426961414,-0.090681163
2011/7/13,0.00358723,0.463188217,0.368718177,0.479817908
2011/7/14,-0.00437167,0.580362909,0.485534427,0.691052613
2011/7/15,0.003420179,0.625849603,0.268414359,0.950822315
2011/7/18,-0.007606746,0.489807853,-0.036917097,0.932493658
2011/7/19,0.016198921,0.375336733,0.464753929,0.370083065
2011/7/20,-0.001232942,0.417813623,0.636968852,0.526295767
2011/7/21,0.012057236,0.477894274,0.045267628,1.185865544
2011/7/22,-0.003404768,0.505278756,0.205924966,1.085168749
2011/7/25,-0.006992205,0.271395312,0.198402667,0.709047413
2011/7/26,-0.007292583,0.154809446,0.339583991,0.342223189
2011/7/27,-0.016026081,0.02379523,0.099486858,0.313053526
2011/7/28,-0.005088294,0.009590451,0.008394997,0.246942407
2011/7/29,-0.007945628,-0.006413985,0.144891118,-0.049412059
2011/8/1,-0.000885658,-0.01722851,0.125040275,-0.151698123
2011/8/2,-0.022157561,-0.003673387,0.059106028,-0.07290988
2011/8/3,0.002509779,0.104876623,0.382684589,-0.359648348
2011/8/4,-0.044058445,0.401142979,0.582837494,-0.005360226
2011/8/5,0.005338126,0.398572016,1.277682937,-0.322079871
2011/8/8,-0.057061121,0.392220128,0.478553532,0.107300126
2011/8/9,0.039000626,0.238491234,0.080425479,0.324613146
2011/8/10,-0.047352823,0.327130607,0.413024087,0.103367452
